issuer_name,filing_date,filing_year,filing_quarter,filing_month,fund_type,asset_class_group,federal_exemption,state_of_incorporation,total_offering_amount,amount_sold,pct_capital_raised,num_investors,investor_bucket,fund_size_bucket,quality_tier,is_duplicate,is_outlier_offering
Atalaya Fund IX REIT LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1526396.72,260390.13,0.1706,14,Mid (11-50),Small ($1M-$10M),Clean,0,0
Dextra Co-investment VII (Lux) SCSp,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),N4,328017314.97,280753287.21,0.8559,38,Mid (11-50),Large ($250M-$1B),Clean,0,0
"PetroCap Partners IV, L.P.",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,25944796.8,14282855.4,0.5505,401,Institutional (201-500),Lower Mid ($10M-$50M),Clean,0,0
Altfund Options Strategy LP,2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,4487633.51,3310148.3,0.7376,48,Mid (11-50),Small ($1M-$10M),Clean,0,0
NexPoint Small Bay II DST,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(c),DE,5999496.05,3306693.6,0.5512,14,Mid (11-50),Small ($1M-$10M),Clean,0,0
"TY-1029 Fund II, a series of AX-RN-Funds, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,592841.59,33401.51,0.0563,33,Mid (11-50),Micro (<$1M),Clean,0,0
Variata Inc.,2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,486371.01,164490.27,0.3382,10,Small (1-10),Micro (<$1M),Clean,0,0
"Care Papers, Inc.",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),WA,9269820.73,5049131.4,0.5447,39,Mid (11-50),Small ($1M-$10M),Clean,0,0
"OIG Rodeo FS, LLC",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(c),DE,470368.59,91944.17,0.1955,26,Mid (11-50),Micro (<$1M),Clean,0,0
"Agile Devices, Inc.",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,1535687.36,1514567.26,0.9862,53,Large (51-200),Small ($1M-$10M),Clean,0,0
"ASF IX Infrastructure Private Investors, LLC",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,13812629.62,7923108.86,0.5736,397,Institutional (201-500),Lower Mid ($10M-$50M),Clean,0,0
"ERA Investors Fund 9, LLC",2024-12-31,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,1216627.31,1118541.04,0.9194,10,Small (1-10),Small ($1M-$10M),Clean,0,0
Buji Brown Butter. LLC,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),OR,21109623.92,2491811.18,0.118,26,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Parkside Flats Holdings, LLC",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),AR,44965854.63,3035098.83,0.0675,8,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"CY-09181 Fund I, a series of Roll Up Vehicles, LP",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,18727725.79,4701537.63,0.251,6,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Satori Alpha, LP",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,241398174.67,208096946.81,0.862,62,Large (51-200),Mid ($50M-$250M),Clean,0,0
"Fresh Vine Wine, Inc.  (VINE)",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),NV,213791.08,19748.87,0.0924,15,Mid (11-50),Micro (<$1M),Clean,0,0
"Globespan SPV G, L.P.",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,178792.5,161841.8,0.9052,1,Small (1-10),Micro (<$1M),Clean,0,0
State Investments L.L.C.,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),OR,93227057.82,46443906.54,0.4982,5,Small (1-10),Mid ($50M-$250M),Clean,0,0
autarc Inc.,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,143573.09,31096.0,0.2166,36,Mid (11-50),Micro (<$1M),Clean,0,0
"K8 Fund I, LP",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,15802772.76,12553127.62,0.7944,29,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
HPS Corporate Capital Solutions Fund,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(c),DE,1077824.98,773908.71,0.718,4,Small (1-10),Small ($1M-$10M),Clean,0,0
"Riceberg Ventures Premier Fund I, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1747650.02,1365686.95,0.7814,59,Large (51-200),Small ($1M-$10M),Clean,0,0
"Capacity Capital Fund II, LP",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,291863170.96,203662778.02,0.6978,14,Mid (11-50),Large ($250M-$1B),Clean,0,0
HF Investments a Series of CGF2021 LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,7060006.78,6458059.48,0.9147,3,Small (1-10),Small ($1M-$10M),Clean,0,0
"NLV Co-Invest IV, L.P.",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,100000.0,12205.93,0.1221,3,Small (1-10),Micro (<$1M),Clean,0,0
Stonepeak Core Fund (C) LP,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,61587003.78,34859428.91,0.566,67,Large (51-200),Mid ($50M-$250M),Clean,0,0
Stratus Financial Fund I LLC,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,3C Fund,CA,49982173.28,39948671.47,0.7993,7,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
Finlayson Logistics Assets LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,3436247.72,3153245.55,0.9176,207,Institutional (201-500),Small ($1M-$10M),Clean,0,0
Dextra Co-investment VII LP,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,732435.57,547272.28,0.7472,6,Small (1-10),Micro (<$1M),Clean,0,0
Stonepeak Core Fund (Lux) SCSp,2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),N4,3038658.74,1399896.96,0.4607,9,Small (1-10),Small ($1M-$10M),Clean,0,0
"Forever 8 Fund, LLC",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,492524.61,422962.59,0.8588,32,Mid (11-50),Micro (<$1M),Minor Issues,1,0
"General Innovation Capital Partners Fund I, L.P.",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,6462245.85,3792285.29,0.5868,17,Mid (11-50),Small ($1M-$10M),Clean,0,0
North Carolina Industrial Partners LLC,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),NC,422266.02,260422.57,0.6167,41,Mid (11-50),Micro (<$1M),Clean,0,0
"OP Murphy Drive, LLC",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,947577.97,370929.38,0.3914,33,Mid (11-50),Micro (<$1M),Clean,0,0
CAN Synaptrix Inc Series A a Series of CGF2021 LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,21350904.8,12952448.23,0.6066,51,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
U.S. Cities Retail Fund LP,2024-12-31,2024,2024Q4,2024-12,Private Debt,Private Debt,506(c),DE,61059885.14,16064996.92,0.2631,35,Mid (11-50),Mid ($50M-$250M),Clean,0,0
BGAC Main LLC,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,18562549.48,13133760.02,0.7075,7,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Topo Therapeutics, Inc.",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,4687456.85,4649426.51,0.9919,178,Large (51-200),Small ($1M-$10M),Clean,0,0
Accel India VIII L.P.,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,37571729.62,3320594.92,0.0884,29,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"8VC ADSG SPV, LLC",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,12425628.9,6260083.29,0.5038,15,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
ZRP Promenade Northwoods LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),SC,3357955892.69,2184892273.9,0.6507,184,Large (51-200),Mega (>$1B),Minor Issues,0,1
Cairnhill Logistics (ESB) Assets LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,33696642.55,28619852.58,0.8493,16,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Mindscale AI Inc.,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,9380130.48,5035403.11,0.5368,72,Large (51-200),Small ($1M-$10M),Clean,0,0
"DD Cloverdale, LLC",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),AL,2740461.12,577793.71,0.2108,19,Mid (11-50),Small ($1M-$10M),Clean,0,0
Ram Realty VII REIT,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),MD,288777.29,246022.63,0.8519,8,Small (1-10),Micro (<$1M),Clean,0,0
"Samba, a series of Rhone VC, LP",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,179647436.21,34730430.86,0.1933,15,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Americanna Wellness, Inc.",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,827127.36,153060.88,0.1851,5,Small (1-10),Micro (<$1M),Clean,0,0
Marathon UCITS Funds - Japan Equity Fund,2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),L2,51606331.99,32177766.83,0.6235,6,Small (1-10),Mid ($50M-$250M),Clean,0,0
GRANATA BIO Corp,2024-12-31,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,1295557.32,1144075.58,0.8831,52,Large (51-200),Small ($1M-$10M),Clean,0,0
OurCrowd (Investment in Uko) L.P.,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),D8,5389242.92,1077778.18,0.2,3,Small (1-10),Small ($1M-$10M),Clean,0,0
"Satori Capital Strategic Opportunities, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1667140.6,1568252.19,0.9407,18,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Satori Alpha II, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,881448.3,657125.53,0.7455,6,Small (1-10),Micro (<$1M),Clean,0,0
"OS-1025 Fund I, a series of Scrub Capital, LP",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,1344440.55,140112.84,0.1042,17,Mid (11-50),Small ($1M-$10M),Clean,0,0
Sonoro Gold Corp.,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),A1,3147260.77,1048060.97,0.333,22,Mid (11-50),Small ($1M-$10M),Clean,0,0
NEKCOM INC.,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,103752.17,22497.91,0.2168,16,Mid (11-50),Micro (<$1M),Clean,0,0
Guilford Capital Credit III Offshore LP,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,611660.72,61857.23,0.1011,77,Large (51-200),Micro (<$1M),Clean,0,0
"OP Murphy Drive, LLC",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,2781850.8,2215928.85,0.7966,4,Small (1-10),Small ($1M-$10M),Minor Issues,1,0
"Collective Global Fund I SCM, L.P.",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,100000.0,51896.75,0.519,12,Mid (11-50),Micro (<$1M),Clean,0,0
"Secure Companies, Inc.",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,6244458.74,5898954.1,0.9447,7,Small (1-10),Small ($1M-$10M),Clean,0,0
"Gecko 2024, a series of Palumni VC MP, LP",2024-12-31,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,155572.14,38760.98,0.2492,28,Mid (11-50),Micro (<$1M),Clean,0,0
"Davidson Craven - NCIP, LLC",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),NC,11450510.73,5708199.13,0.4985,6,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Creative Finance & Investments, LLC",2024-12-31,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),MT,5878947.54,1600300.58,0.2722,11,Mid (11-50),Small ($1M-$10M),Clean,0,0
"MemorialCare Surgical Center at Orange Coast, LLC",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,Reg A,CA,9036818.91,1121759.73,0.1241,6,Small (1-10),Small ($1M-$10M),Clean,0,0
"Artificial Generalized Intelligence Solutions, Inc.",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,4619179.65,2868933.08,0.6211,7,Small (1-10),Small ($1M-$10M),Clean,0,0
"HGI Opportunity Fund XIX, LP",2024-12-31,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),VA,9872318.21,8040337.28,0.8144,2,Small (1-10),Small ($1M-$10M),Clean,0,0
"Balerion Space Ventures Fund II, L.P.",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,248059.81,133107.67,0.5366,4,Small (1-10),Micro (<$1M),Clean,0,0
Leonie Logistics (DC) Assets LLC,2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,55226446.54,29217537.31,0.529,27,Mid (11-50),Mid ($50M-$250M),Clean,0,0
GAMBIT CAPITAL FUND LIMITED PARTNERSHIP,2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(c),WY,11129535.05,3524852.29,0.3167,13,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Blackstone Infrastructure Strategies L.P.,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,5875315.65,685727.01,0.1167,88,Large (51-200),Small ($1M-$10M),Clean,0,0
RHB 2024 Investors LLC,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,849382.02,264407.07,0.3113,7,Small (1-10),Micro (<$1M),Clean,0,0
"Mindful Health, Inc.",2024-12-31,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,136366.94,108568.48,0.7961,3,Small (1-10),Micro (<$1M),Clean,0,0
Yevai Inc.,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,790901.3,473882.55,0.5992,11,Mid (11-50),Micro (<$1M),Clean,0,0
ASF IX Infrastructure Private Investors Offshore SICAV-RAIF S.C.Sp.,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),N4,405409.09,259577.04,0.6403,3,Small (1-10),Micro (<$1M),Clean,0,0
"PI-0724 Fund I, a series of AX-WiEs-Funds-I, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,427666.26,426595.0,0.9975,16,Mid (11-50),Micro (<$1M),Clean,0,0
"BO-0807 Fund II, a series of Roll Up Vehicles, LP",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,2716405.63,413210.35,0.1521,12,Mid (11-50),Small ($1M-$10M),Clean,0,0
WI Parkview Townhomes LLC,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),KS,458406.71,448299.99,0.978,17,Mid (11-50),Micro (<$1M),Clean,0,0
"Balerion Space Ventures Fund II (Onshore Parallel), L.P.",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1562012.21,166671.39,0.1067,12,Mid (11-50),Small ($1M-$10M),Clean,0,0
Blackstone Secured Trust Ltd,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,234931.13,71694.14,0.3052,1,Small (1-10),Micro (<$1M),Clean,0,0
"GT Development Portfolio Holdings, LP",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),VA,1738098.74,712782.74,0.4101,10,Small (1-10),Small ($1M-$10M),Clean,0,0
"RANDOLPH STREET INVESTMENT PARTNERS, L.P. - 2024 DIF",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,171893.64,136313.91,0.793,17,Mid (11-50),Micro (<$1M),Clean,0,0
Blackstone Infrastructure Strategies (TE) L.P.,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,8162904.23,4673007.86,0.5725,271,Institutional (201-500),Small ($1M-$10M),Clean,0,0
"Anebulo Pharmaceuticals, Inc.  (ANEB)",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,213722627.44,63700752.33,0.2981,6,Small (1-10),Mid ($50M-$250M),Clean,0,0
Marathon UCITS Fund - Global Equity Fund,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),L2,6254778.78,5843512.48,0.9342,27,Mid (11-50),Small ($1M-$10M),Clean,0,0
"DV Monarch 2024 NMTC Fund, LLC",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,100000.0,39213.44,0.3921,4,Small (1-10),Micro (<$1M),Clean,0,0
LHS V Private Equity Partners LP,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,640836.23,190684.23,0.2976,6,Small (1-10),Micro (<$1M),Clean,0,0
"GGP SPV-1, LLC - Series 2",2024-12-31,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,133141576.85,75470776.66,0.5668,36,Mid (11-50),Mid ($50M-$250M),Clean,0,0
Gaingels Databricks 2024 LLC,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),VT,38983542.27,26372226.52,0.6765,20,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
PT Financial Companies LLC,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,13439751.68,11276726.78,0.8391,9,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
"Alta Point Capital Fund I Offshore, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),E9,3483900.01,188960.54,0.0542,4,Small (1-10),Small ($1M-$10M),Clean,0,0
"JU-1022 Fund I, a series of SaaSholic, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,8246982.72,7165661.66,0.8689,12,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Cyrus Biotechnology, Inc.",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,749332405.19,591880304.69,0.7899,2,Small (1-10),Large ($250M-$1B),Clean,0,0
Anson Logistics Assets LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1203500.8,719190.52,0.5976,41,Mid (11-50),Small ($1M-$10M),Clean,0,0
Sidus Space Inc.  (SIDU),2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,261714.29,159759.81,0.6104,5,Small (1-10),Micro (<$1M),Clean,0,0
"BO-1105 Fund IV, a series of AngelList-Forefront Venture Partners-Funds, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,371314728.39,273700095.35,0.7371,83,Large (51-200),Large ($250M-$1B),Clean,0,0
"HA-0624 Fund I, a series of Andrew Tan Investments, LP",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,16998186.2,4618333.14,0.2717,23,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Navitas Capital Co-Invest III-A, L.P.",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,6679616.37,3937982.79,0.5896,25,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Blue Owl Direct Lending Insurance Dedicated Fund Series Interests of the SALI Multi-Series Fund, L.P.",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,106954994.04,41470232.99,0.3877,2,Small (1-10),Mid ($50M-$250M),Clean,0,0
"1920 MHC H, LLC",2024-12-31,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),NJ,275460171.91,164869235.21,0.5985,17,Mid (11-50),Large ($250M-$1B),Clean,0,0
"AppTech Payments Corp.  (APCX, APCXW)",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1482163.47,312631.25,0.2109,75,Large (51-200),Small ($1M-$10M),Clean,0,0
"LI-1104 Fund I, a series of Heron Rock AL Access Funds, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,72962584.85,48667989.59,0.667,40,Mid (11-50),Mid ($50M-$250M),Clean,0,0
"Briton Court, LLC",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),SC,1578870.8,137170.75,0.0869,10,Small (1-10),Small ($1M-$10M),Clean,0,0
